Unique Identifier,AdultCareFacilities,Clinics,CommunityHealthCenters,DiagnosticTreatmentCenters,Hospitals,NursingHomes,SchoolBasedHealthFacilities,Daycares,TotalPop,shape_area,rating_b,FemalePopPercent,PopU18PopPercent,Pop18t24PopPercent,Pop25t44PopPercent,Pop45t64PopPercent,Pop65plPopPercent,HispanicPopPercent,WhiteNonHispPopPercent,BlackNonHispPopPercent,AsianPIPopPercent,OtherRacePopPercent,ForeignBornPopPercent,LimitedEngPopPercent,EduLessThanHSPopPercent,PovertyPopPercent,FoodStampSNAPPopPercent,UnemploymentPopPercent,DisabilityPopPercent,DisabilityVisionPopPercent,DisabilityCognitivePopPercent,DisabilityAmbulatoryPopPercent,DisabilitySelfCarePopPercent,DisabilityIndepLivPopPercent,HealthInsPopPercent,MedicaidEnrollPopPercent,AlcoholRetailersPopPercent,TobaccoRetailersPopPercent,FelonyCrimePopPercent,PropertyCrimePopPercent,ViolentCrimePopPercent,JailIncarcerationPopPercent,AssaultHospPopPercent,AlcoholHospPopPercent,DrugHospPopPercent,PsychHospPopPercent,StrokeHospPopPercent,HIVPopPercent,HepBPopPercent,HepCPopPercent,TBPopPercent,GonorrheaPopPercent,SyphilisPopPercent,PrematureMortalityPopPercent
65,1,1,0,7,0,0,0,59,90764,67119897.63,7.291445124,52.20746111,19.6696752,8.163778591,28.25198537,26.03898903,17.80746111,11.85667886,50.11612534,3.378700806,32.98038429,1.668110705,54.2878454,46.87641356,26.55631748,18.18303292,24.60036138,10.53778591,11.79879688,2.669675202,4.101564497,7.971239699,3.869675202,6.333453792,86.01456084,47.67244282,0.17954753,0.103519854,1.291335772,0.69393504,0.299566789,0.227833943,0.029987726,0.595171262,0.437036248,0.446816615,0.254569195,0.013821542,0.219504447,0.132088568,0.010258243,0.03579952,0.004427196,0.143315165
66,0,2,0,0,0,0,0,14,32185,35321996.12,7.279069767,51.4,10.3,7.2,50.5,22.8,9,12.3,77.7,1.8,5.4,2.9,32.7,19.8,9.4,12.5,6.1,6.9,6,1,1.7,3.6,1.3,2.4,81.1,16.7,0.668,0.217,1.78,0.92,0.44,0.24,0.0299,0.9515,0.5112,0.4909,0.2341,0.0146,0.0234,0.0969,0.0041,0.1818,0.0342,0.1731
67,1,0,0,0,0,0,0,27,22484,37752552.87,7.056547619,55.9,25.3,16.4,27.1,21.3,9.9,28.8,27.7,29.4,10.8,3.2,28.2,14,19,20.9,21.5,11,8,1,2.4,4.7,1.8,3.6,90.6,34.9,0.049,0.04,1.17,0.49,0.32,0.6,0.1149,0.9262,0.8595,0.7432,0.3664,0.0263,0.1151,0.0698,0.0133,0.1445,0,0.1899
68,2,3,1,6,1,2,11,262,156154,52146697.52,7.014876033,52.99788158,20.48267095,11.76309348,33.92681199,23.42060978,10.40681379,36.68205425,10.25047581,47.12678318,2.665076783,3.223510765,29.15672349,18.68597987,24.81477708,30.16700629,29.89177415,14.22703869,13.9405337,2.946067984,4.601565122,9.5183588,3.059713488,5.339236267,83.50364512,40.39981108,0.134933393,0.10874942,2.331775171,1.171070866,0.520234768,1.142543771,0.104762227,1.366707678,1.754044564,1.00890795,0.366816673,0.076516566,0.087933361,0.146142459,0.00661956,0.462989266,0.122953732,0.221254439
69,2,2,1,5,0,0,1,31,41972,18362149.83,6.094339623,46.1,6.1,9.2,45.3,28,11.5,20.7,58.2,5.2,13.2,2.7,30.7,12,8.1,12.4,8.8,7.8,10.4,2.3,2.6,6.1,2.1,3.3,88.2,20.8,1.015,0.224,3.36,2.12,0.51,0.35,0.0267,0.8445,0.7712,0.7741,0.2443,0.1092,0.0625,0.136,0.004,1.1496,0.33,0.1275
70,0,0,0,3,0,2,2,111,38793,16457634.82,4.905172414,52.7,32,11.7,27.8,21.1,7.4,65,1.5,32.5,0.4,0.6,37.4,32.3,35.9,43,55.7,18.4,16.7,5.2,7,9.6,3.5,5,85.3,59.4,0.139,0.113,1.96,0.89,0.6,1.08,0.1389,1.9336,2.7285,1.3368,0.4491,0.0613,0.1252,0.1746,0.0043,0.2243,0.0567,0.2679
71,0,0,0,1,0,2,0,26,21294,22887772.77,7.54770318,54,19,11.5,26.2,30.1,13.1,10.5,2.5,63.9,15.7,7.5,46.1,9.7,16.9,11.6,19.5,15.1,11.7,2.4,3.5,7.1,2.4,3.7,85.2,33.9,0.099,0.085,1.75,0.75,0.51,0.62,0.0555,0.7524,0.4254,0.8028,0.4509,0.0097,0.0518,0.0515,0.0141,0.1456,0.0164,0.1498
72,0,0,0,0,0,0,0,16,28103,51013708.64,7.144736842,51.6,20.6,6.4,26.6,29.5,17,7.6,40.9,1.9,46,3.6,44.8,29.1,8.8,9.3,7.3,6.6,8.4,1.8,1.6,5.4,1.5,3.2,88.4,23.5,0.089,0.039,0.75,0.46,0.18,0.07,0,0.3194,0.2528,0.4412,0.1747,0,0.1197,0.0467,0.0071,0.0249,0.0107,0.0844
73,0,1,0,1,0,0,0,16,28742,64546803.16,6.738916256,54.6,19.1,6.4,25.4,27,22,19.6,73.2,2.2,2.8,2.2,18.9,9.6,14.1,8.9,8.5,9.5,13.1,2,4.6,8.4,4.1,7,93.3,14.2,0.129,0.056,1.21,0.74,0.16,0.24,0.0227,0.3634,0.439,0.4923,0.2544,0.0036,0.0201,0.0779,0.0012,0.0261,0,0.133
74,1,1,0,2,0,0,0,66,30042,89023936.44,6.958250497,53.1,27,11.3,27.5,25.9,8.3,36.9,23.4,29.4,8.7,1.5,25.2,12.3,17.3,21.1,24.2,8.6,9.5,1.4,3,5.9,1.7,3.3,88.7,39.8,0.15,0.097,1.69,0.69,0.36,0.74,0.0865,1.0364,0.9165,0.6756,0.3698,0.0161,0.0493,0.0977,0.0022,0.1365,0.01,0.1867
