Unique Identifier,AdultCareFacilities,Clinics,CommunityHealthCenters,DiagnosticTreatmentCenters,Hospitals,NursingHomes,SchoolBasedHealthFacilities,Daycares,TotalPop,shape_area,rating_b,FemalePopPercent,PopU18PopPercent,Pop18t24PopPercent,Pop25t44PopPercent,Pop45t64PopPercent,Pop65plPopPercent,HispanicPopPercent,WhiteNonHispPopPercent,BlackNonHispPopPercent,AsianPIPopPercent,OtherRacePopPercent,ForeignBornPopPercent,LimitedEngPopPercent,EduLessThanHSPopPercent,PovertyPopPercent,FoodStampSNAPPopPercent,UnemploymentPopPercent,DisabilityPopPercent,DisabilityVisionPopPercent,DisabilityCognitivePopPercent,DisabilityAmbulatoryPopPercent,DisabilitySelfCarePopPercent,DisabilityIndepLivPopPercent,HealthInsPopPercent,MedicaidEnrollPopPercent,AlcoholRetailersPopPercent,TobaccoRetailersPopPercent,FelonyCrimePopPercent,PropertyCrimePopPercent,ViolentCrimePopPercent,JailIncarcerationPopPercent,AssaultHospPopPercent,AlcoholHospPopPercent,DrugHospPopPercent,PsychHospPopPercent,StrokeHospPopPercent,HIVPopPercent,HepBPopPercent,HepCPopPercent,TBPopPercent,GonorrheaPopPercent,SyphilisPopPercent,PrematureMortalityPopPercent
97,0,1,0,12,0,0,1,125,54487,41898533.07,6.329004329,52.4,31.2,12.9,28.4,19.2,8.4,71.9,1.3,25.3,0.8,0.7,27.5,36.1,42.9,46.4,54,14.8,17.7,3.7,8.1,10.9,4,6.7,81.4,63.3,0.235,0.154,3.4,1.54,0.52,1.39,0.1974,2.589,2.5439,1.0047,0.3904,0.0418,0.0722,0.2263,0.008,0.2909,0.0606,0.2922
98,0,3,0,11,1,1,4,194,52999,14716710.52,6.784037559,52.4,28.2,12.4,28.2,24.4,6.8,69.3,1.6,26.3,1.2,1.6,45,37.2,35.5,38.8,48.6,18,14.1,3,6,8.6,3.2,5,83.4,62,0.194,0.151,2.28,0.99,0.6,1.14,0.1366,1.881,2.2236,0.9984,0.4174,0.0653,0.1566,0.1434,0.0101,0.2613,0.0547,0.2202
100,0,0,0,0,0,0,1,14,20461,55429450.87,6.946551724,51,21.5,7.9,25.6,31.1,14,11.8,79.3,1.2,7.3,0.4,22.9,12.3,8.5,6.4,8.4,7.4,11.3,0.9,3.9,6.9,2.2,4.2,93.9,22.5,0.279,0.127,1.26,0.51,0.41,0.32,0.0477,0.6996,0.6221,0.7115,0.306,0.0048,0.0528,0.0621,0.0016,0.0342,0,0.1702
101,2,1,0,0,0,2,0,15,31472,184881509.2,7.349573691,52.8,19.7,8.6,22.4,31.5,17.9,10.8,71.7,1.8,14.7,0.9,27.2,13.4,11.9,7.1,7.4,5.4,10.6,1.1,3.8,7.3,3.6,4.9,91.8,19.8,0.099,0.057,1.05,0.6,0.15,0.16,0.0235,0.4264,0.3451,0.4133,0.3838,0.0032,0.0252,0.0665,0.0074,0.0159,0,0.1313
102,2,1,0,0,0,4,2,33,27264,49048279.36,5.953020134,54.3,19,12.1,22.1,25.2,21.8,19.7,64.4,6.6,8,1.4,21.4,9.4,8,8.5,6.1,7.5,10.6,1.9,3.5,5.6,2.1,4.4,94.7,13,0.092,0.04,0.85,0.56,0.15,0.07,0.0144,0.4845,0.3041,0.8548,0.3006,0.0215,0.0304,0.0414,0.0037,0.0257,0,0.1671
103,0,8,0,2,3,3,0,101,41804,15724928.47,6.918367347,53.6,28,11.1,31.3,20.2,9.4,57.6,11.2,17.4,11.4,2.3,42.4,34.2,27.7,29.4,37.8,14.3,13.2,2.4,5.2,7.1,2.6,4.3,84.6,52.5,0.136,0.103,2.3,1.2,0.56,0.5,0.1012,1.8936,1.8099,1.0172,0.3113,0.0284,0.0706,0.13,0.0096,0.2045,0.0682,0.2328
104,0,0,0,0,0,0,0,21,22856,25028981.77,7.096866097,51,23.8,9.6,28.6,26.5,11.5,39.7,25.5,6.1,23.7,5.1,41.2,21.7,21.3,16.1,19,11.1,11.3,2.7,3.5,6.1,2.3,4.4,87.1,34,0.162,0.123,2.09,1.23,0.39,0.37,0.0266,0.6039,0.4291,0.3793,0.2479,0.0045,0.0516,0.0842,0.0088,0.0547,0,0.1285
105,0,0,0,1,0,0,1,93,36844,15084986.14,5.643243243,50.8,26.7,10.2,30.3,23.7,9,66.2,2.3,24.6,4.4,2.5,37.9,31.8,38.3,34.8,42,14.2,12.3,3,5.1,7.1,2.7,5.1,78.4,48.8,0.125,0.109,2.12,1.06,0.63,0.85,0.1048,1.4809,1.5871,0.7766,0.2715,0.0409,0.0904,0.1112,0.009,0.1954,0.0475,0.1919
106,1,10,1,10,3,2,1,89,60528,59334955.22,6.825315746,52.13425357,24.93265927,8.908164816,31.07783836,23.15291601,11.87900476,47.1497274,30.42418385,10.98950238,9.883670367,1.552916006,33.17433915,24.19183518,23.52332805,20.99257368,22.83499207,12.52216164,11.0517496,2.398833598,4.251749603,6.693001586,2.741251983,4.041251983,85.33308717,35.1524881,0.184629857,0.122524881,1.708790808,0.927391125,0.410699841,0.345758162,0.05319755,1.17640419,1.051019581,1.034364519,0.270856919,0.013050583,0.060637635,0.111018662,0.004423756,0.098311975,0.025613569,0.165190124
107,0,0,1,2,0,0,0,23,19229,36422143.41,6.19955157,50.9,24.7,9.9,28.9,25.6,10.9,31.3,43.2,17.4,5.3,2.9,23.7,14,13.8,23.2,21.4,6.4,10.3,1.5,3.9,5.3,1.9,3.5,87.9,32.2,0.255,0.146,2.12,0.78,0.48,0.68,0.0969,0.9182,0.8882,0.8161,0.2852,0.0457,0.0317,0.0749,0.0069,0.0962,0,0.2333
108,0,0,0,0,1,0,0,17,28853,141057788.3,6.902723735,49.5,21.3,9.8,23.9,29.5,15.4,6.3,89.5,0.5,3,0.7,14.2,6.6,8.9,7,3.8,5.6,8.1,0.8,2.3,5,1.8,3.2,96.2,11.5,0.114,0.055,0.63,0.26,0.15,0.13,0.0253,0.4917,0.4953,0.3819,0.2041,0.0035,0.0297,0.0699,0,0.0225,0,0.1417
109,0,0,0,0,0,0,0,29,20228,10230580.61,7.207792208,51,13.9,6.1,48.3,21.9,9.8,10.5,51.1,26.5,7.8,4,24.4,6.9,7.1,9.9,7,6.4,5.5,0.7,1.4,3.2,0.7,1.3,90.9,14.2,0.47,0.129,1.61,1.03,0.34,0.31,0.0272,0.8753,0.6363,0.5058,0.3003,0.024,0.0289,0.0519,0.0066,0.1384,0.0321,0.1143
110,0,2,1,4,2,3,1,101,69695,31638973.31,7.515837104,55.6,22,9.9,30.2,24.3,13.7,9.6,11.7,74.2,2.2,2.3,45.4,10.8,18.2,23.4,24.3,15.1,9,2.1,3,5.6,2.3,3.5,84.9,33.1,0.162,0.106,2.45,1.23,0.56,0.72,0.0909,1.2649,1.1907,1.2949,0.4073,0.0418,0.0601,0.0866,0.0091,0.2762,0.0768,0.1907
111,0,0,0,1,0,2,0,61,56705,69533432.55,6.786090622,52.4,20.4,10,27.9,28.9,12.8,17.6,6.2,49.3,17,10,51.1,17.4,17.1,10.8,14.5,13,9.6,1.9,3.4,5.7,2.2,3.7,86,27.2,0.106,0.079,1.51,0.72,0.25,0.38,0.0494,0.5577,0.3401,0.5496,0.3971,0.0256,0.0562,0.0482,0.0094,0.0996,0.0194,0.1104
112,1,0,0,1,0,1,1,65,32841,56030444.6,7.330097087,50.7,28.1,10.5,27.3,24.1,10,31.5,25.1,35.4,3.8,4.1,22.2,11.9,16.4,27.7,28.5,9.9,11.1,2.2,4.5,6.3,2.3,4.4,88.8,41.6,0.216,0.171,2.23,1.03,0.65,1.01,0.1546,1.556,1.377,1.378,0.4139,0.0386,0.0486,0.1095,0.0071,0.1538,0.0198,0.2674
113,0,1,0,2,0,1,2,59,40307,44601379.4,6.610648918,52.5,18.1,5.3,43,23.6,10,20.9,60.3,10.3,5.5,3,16.8,9.2,11.8,15.1,13.6,8.2,10.6,2.2,4.3,6.8,2.2,3.9,91.1,18.3,0.474,0.114,2.03,1.15,0.44,0.34,0.0359,0.9965,0.7768,0.3899,0.3073,0.0098,0.027,0.0903,0.0033,0.1141,0.0236,0.1407
114,0,2,0,1,0,0,0,39,26490,19941713.21,6.17535545,53.5,15.2,5.1,30.8,30.4,18.4,18,45.7,1.9,31.1,3.3,58.7,35.7,10.1,10.1,11.4,7.7,11.9,2.7,3.7,7.5,3.7,5.6,86.5,31.4,0.2,0.109,1.11,0.69,0.27,0.11,0.0325,0.3577,0.1815,0.4741,0.2534,0.0107,0.1364,0.0884,0.0101,0.0434,0.0189,0.0948
115,0,1,0,3,1,1,0,66,64049,50978395.76,6.956081081,51,23.4,11.2,29.9,26.5,9,35,11.1,8.5,30.8,14.5,56.9,24.3,26.3,16.2,18.3,10.2,9.2,2.6,3.3,5.2,2.2,3.7,81.6,43,0.206,0.126,1.75,0.92,0.44,0.42,0.0496,0.8699,0.3562,0.561,0.3275,0.016,0.0538,0.0853,0.0109,0.0726,0.0101,0.132
116,0,0,0,0,0,0,0,10,21575,55961883.87,7.660162602,54.3,20.6,7.4,23.2,27.7,21,12.6,80.2,3,2.7,1.4,16.6,8.4,9.4,5.5,7.8,7.6,11.9,1.6,3.8,6.5,2.7,4.9,95.1,15.9,0.042,0.037,0.71,0.27,0.17,0.22,0.0452,0.7746,0.689,0.6454,0.2895,0.0046,0.0087,0.0803,0,0.0162,0,0.1621
117,0,1,0,2,0,0,0,47,70234,50495176.26,7.357274401,50.5,23.5,10.5,32.6,23.9,9.4,48.5,40.4,2,7.8,1.3,44.7,29.5,23,20.1,11.4,8.1,6,0.8,2.2,3.5,1.3,2.3,79,34.5,0.288,0.177,1.66,0.9,0.41,0.31,0.0271,0.7487,0.4523,0.4108,0.3172,0.0213,0.0638,0.0849,0.0071,0.0712,0.0157,0.1359
118,1,0,1,1,0,6,0,66,36226,61894959.37,6.564971751,53.6,28.8,9.9,25.1,24.7,11.4,25.1,17.6,49.7,4.1,3.5,26.8,13.4,25.5,26,33.3,14.7,16.7,6.1,6.1,8.7,3.8,4.8,88.4,48.3,0.08,0.055,2.82,0.88,0.7,1,0.112,0.9636,0.7543,1.4238,0.3477,0.0434,0.0474,0.1015,0.0018,0.1905,0.0235,0.2999
119,0,0,0,0,0,0,0,45,26989,61569261.51,6.118965517,56.1,24.8,10.4,26.9,28.1,9.7,7,5.4,82.9,3.5,1.3,40.9,7.6,11.9,8.7,16.8,6.6,6.5,1,2.8,3,1.4,2.7,89.1,22.4,0.082,0.063,1.69,0.87,0.38,0.43,0.0342,0.2283,0.311,0.458,0.3824,0.0074,0.0339,0.0371,0.0012,0.1019,0.0278,0.0666
120,0,0,0,0,0,0,0,8,21050,64963357.57,6.891304348,52.1,23,8.7,26.8,29.6,11.9,7.8,86.4,0.4,4.8,0.7,11.5,5.5,8.5,12.7,7.1,6.1,7.1,1.3,1.5,3.4,1.2,2.7,96.2,12.7,0.071,0.029,0.7,0.29,0.14,0.14,0.022,0.4772,0.579,0.4005,0.2148,0.0048,0.022,0.0792,0,0,0,0.1241
121,3,1,0,2,0,3,0,27,29229,38782030.92,4.562913907,53.1,22.5,12.2,21.2,24.9,19.3,24.9,32,29.8,11.6,1.8,34.4,32.3,28.6,37.1,49.1,20,22.1,5,11.1,14.4,8.4,12.2,91.1,66.8,0.239,0.106,3.22,1.55,0.68,0.89,0.0997,1.6634,1.8448,1.6763,0.4926,0.033,0.0824,0.1713,0.0046,0.1813,0.0222,0.3284
122,0,1,0,1,0,1,0,81,36966,16253358.5,6.942028986,51.3,27.4,11.5,27.8,22.6,10.8,62.2,2.1,24,7.1,4.6,42.5,34.7,41.2,35.5,41.7,13.5,10,1.7,3.5,6.6,2.5,4,78.9,53.8,0.203,0.135,2.59,1.46,0.63,0.86,0.1269,1.317,1.5425,0.5314,0.2906,0.0405,0.088,0.1053,0.0099,0.1691,0.0365,0.2126
123,0,1,0,0,0,0,1,90,83286,82461393.41,6.622174381,51.5,21.9,11.2,28.4,27.9,10.5,20.8,5.9,22.9,24,26.5,56.5,11.3,25.4,14.1,17.9,11.6,9.2,2,3.4,5.7,2.3,3.9,81.5,35.3,0.157,0.084,1.9,1.05,0.37,0.41,0.0361,0.8164,0.2984,0.445,0.3447,0.0157,0.0386,0.0627,0.0048,0.048,0.015,0.1279
124,0,0,0,0,0,0,1,78,48556,71716927.45,6.326294202,57.29538677,23.60504984,10.67662081,26.8,26.21789274,12.70043661,9.672444188,1.417892742,85.43304226,1.735785485,1.584413873,30.95741824,5.597256776,14.7128429,12.50779306,15.56652113,12.32063597,12.08528709,2.202743224,4.02842903,7.249064997,2.377057418,4.397693385,90.05137161,25.90735645,0.074004366,0.069871571,2.193073565,0.948441387,0.543073565,0.59128429,0.041130299,0.408804308,0.428392273,0.533797257,0.417483294,0.028564215,0.041442145,0.066036346,0.004812843,0.155497133,0.023656421,0.154029055
125,0,1,0,1,0,1,0,109,53797,77412747.39,7.210352423,54.7,22.7,10.2,25.9,28.3,12.8,7,1,88.1,1.7,2.2,35.8,5.6,12.6,9.3,16.6,13.6,10,2.3,3.2,6,2.8,3.7,87.4,24.7,0.1,0.084,2.2,0.79,0.59,0.67,0.0687,0.5656,0.5275,0.703,0.3722,0.0224,0.0474,0.0644,0.0025,0.2026,0.0214,0.1479
126,0,1,0,0,0,2,0,34,26596,46432646.47,7.68707483,49.8,23.4,10.2,29.4,24.9,12,30.4,37.9,19.3,10,2.5,31.7,22.1,19.4,19.8,24.1,7.6,10.3,1.5,3.5,5.9,2.5,4.8,85,42.6,0.29,0.199,1.97,0.94,0.63,0.79,0.114,1.3366,1.2708,0.9908,0.4164,0.0223,0.0505,0.1176,0.0025,0.1316,0.032,0.2747
127,0,0,0,0,0,0,0,5,21761,5582283.102,1.592592593,57.6,9.2,15.5,34,23.7,17.7,7.9,72.6,3.4,13.6,2.4,19.3,4.8,2.4,11.1,1.6,4.6,8.6,0.8,2.1,5,1.7,3.3,93.2,4.1,0.028,0.014,0.38,0.31,0.03,0.05,0,0.486,0.3083,0.39,0.1783,0.028,0.0303,0.0495,0.0015,0.1654,0.0368,0.0947
128,1,1,0,2,0,1,0,59,90544,138054976.4,6.309380379,50.76448136,16.71099134,7.853065913,40.73848737,24.20443541,10.39301997,31.66004594,43.44797667,1.776745008,21.23848737,1.876745008,48.12622371,31.11396006,16.1236791,13.55349002,7.853914119,7.234670436,7.482028627,1.358773635,2.28245273,4.005707722,1.805707722,2.75264181,79.7517936,28.55750133,0.403989574,0.166771691,1.585919774,0.861839548,0.352325499,0.200570772,0.021841226,0.747450133,0.387256194,0.414934052,0.287043665,0.023137215,0.082609913,0.07989537,0.011807828,0.091696254,0.034247394,0.127819208
129,0,10,5,8,1,1,8,128,129044,77161134.52,6.83914001,48.25064629,24.48830786,10.69350764,35.58009206,21.42553858,7.768830786,46.93553672,14.16104584,2.230738353,35.07267909,1.512553858,52.54110846,53.61686247,46.81037011,31.77055423,32.05150801,10.66276929,8.5,1.874892285,3.412553858,4.718615356,1.8,3.712553858,77.50086172,66.30557174,0.274281532,0.107922151,1.465541521,0.789350764,0.329350764,0.3412123,0.039070153,0.843904927,0.444807424,0.521963318,0.336436428,0.012927291,0.780322833,0.089470643,0.018346308,0.061229475,0.018214738,0.124221661
130,0,0,0,1,0,2,0,62,49311,88439963.78,5.497093023,51.4,21.9,11.5,26.6,25,15.2,41.5,43.3,8.8,3.7,2.8,16.4,11.7,18,16,15.6,9.9,12.2,2,4.1,7.6,2.6,4.5,90,21.1,0.172,0.085,1,0.54,0.25,0.24,0.0495,0.8152,0.6945,0.4583,0.2377,0.0126,0.0344,0.0657,0.0027,0.0679,0.0172,0.1669
131,0,6,0,4,1,1,0,158,43878,19255162.9,6.954545455,53.4,31.1,12.4,27.4,20.2,8.8,69.5,1.6,26.9,1,1,30.7,27.1,40.9,45.3,55.4,23.3,14.1,2.2,5.8,8.7,4,5.6,84.7,62.4,0.164,0.157,2.79,1.53,0.65,1.17,0.1817,2.535,3.0036,1.5736,0.5261,0.0584,0.1051,0.1625,0.0091,0.2564,0.0877,0.316
132,0,0,1,7,0,0,0,41,42082,25032687.95,6.959064327,50.1,14.3,10.1,41.2,22.9,11.5,6.3,65.9,2.2,21,4.7,26.3,10.5,9.2,10,7.4,5,6.2,1,1.9,3.9,1.4,2.4,94,15.3,1.214,0.254,3.59,2.27,0.6,0.14,0.0111,0.4375,0.3281,0.2748,0.1422,0.0211,0.1735,0.087,0.0087,0.1533,0.0356,0.0835
133,0,0,0,2,0,1,1,39,27952,23945209.8,5.464052288,52.6,25.5,11.8,29.9,23.3,9.4,62.2,4.8,15.7,14,3.3,33.2,25.6,27.6,22.8,29.1,16.3,10.5,2.5,4,5.6,1.8,3.1,85.7,44.7,0.19,0.14,1.91,1.11,0.52,0.47,0.0781,1.167,0.9393,0.5479,0.2547,0.0179,0.0536,0.0832,0.0072,0.1324,0.0608,0.1869
134,0,0,0,8,0,0,4,184,52773,21255545.08,5.163865546,54.6,26.9,13,28.2,24.4,7.4,65.4,1.3,30,1.7,1.7,38.1,33.3,31.8,41.5,51.6,19.6,15.9,3.6,7.2,9.4,3.1,4.9,82.2,64.9,0.123,0.099,1.8,0.87,0.49,1.05,0.1367,1.8351,2.4082,1.3054,0.4342,0.0495,0.099,0.1677,0.0095,0.2823,0.054,0.2218
135,4,14,0,11,4,3,2,132,219382,55176043.9,5.935468605,56.74381809,14.24372829,5.036155655,38.03481279,23.68532468,18.97319425,7.819267761,78.03830305,2.853500287,9.098489849,2.18991394,22.56100136,5.974520699,3.318932273,7.215256493,3.722741611,4.732358626,7.201252154,1.291812455,2.173215669,4.4238479,1.708187545,2.393064609,95.10646635,5.388294846,0.325511113,0.08067831,1.092328906,0.769526488,0.159947489,0.078330173,0.016366815,0.590260415,0.370376083,0.423780043,0.17221747,0.014334363,0.031440401,0.060005448,0.003328885,0.069081076,0.022362372,0.094526648
136,2,0,1,7,1,2,3,147,196394,50185528.92,6.858178287,53.79763638,15.3925069,4.730374655,35.21123965,27.15325621,17.45187328,14.16489811,68.46409361,6.368644663,8.332738271,2.608876035,22.38224793,7.922881554,5.524264489,9.949509659,6.172391214,6.25700276,9.062132244,1.75700276,2.51775207,5.17475483,1.83925069,3.087377415,93.46311293,10.55089259,0.234556198,0.059532562,1.278599448,0.841636914,0.180887603,0.213550414,0.027244782,0.585760018,0.508386068,0.52708388,0.210858788,0.016704551,0.03546173,0.065171587,0.002187377,0.133913603,0.037706512,0.095781091
137,0,2,0,2,0,0,0,54,44266,39738785.99,7.012285012,53,22.5,10,28.4,26.3,12.8,18,16.3,60.1,3.4,2.1,42.2,7.1,16.4,15.5,17.2,13.4,10.1,1.8,3.5,6.3,2.5,4,86.2,28,0.131,0.09,1.8,0.91,0.57,0.43,0.0579,0.8785,0.8765,0.5818,0.3308,0.0228,0.0551,0.0666,0.006,0.1841,0.0395,0.1536
138,0,6,0,11,2,3,7,311,162955,45760171.75,6.108601365,49.96431101,17.17385168,12.44522966,33.10494738,24.72367463,12.50706698,69.15053113,17.96077506,8.295760793,2.819081341,1.828622012,47.64063637,38.63392348,30.2911675,24.10777515,35.34134454,13.72155503,11.41696174,2.4,4.695406707,6.814488049,2.802473689,4.366784695,83.8067129,40.03392348,0.17107067,0.091381627,1.433356939,0.79667847,0.309293302,0.492402872,0.042732512,0.954878179,0.789684518,0.727443872,0.308748062,0.048825091,0.055724034,0.078849474,0.003466785,0.251306024,0.069327565,0.114307426
139,1,2,0,2,1,2,1,24,18313,47137244.22,6.936018957,47.7,24.9,9.5,25.7,29,11,25,55.6,11.7,5.8,1.8,16.4,9.5,12.3,15.4,13,9.4,7.9,1,3.6,4.5,2,3.4,89.1,23.3,0.229,0.137,1.24,0.56,0.4,0.39,0.0767,1.848,1.36,1.4397,0.3089,0.0165,0.0403,0.0802,0,0.0355,0,0.1634
140,0,1,0,6,0,1,0,33,67521,24970650.3,7.227956989,50.3,8.6,10.1,43.5,24.1,13.7,5.9,80.6,2,8.5,3.1,18.2,3.3,1.4,6.9,2.4,5.3,6.5,0.9,2.4,3.3,1.4,2.4,95.6,4,1.022,0.151,3.35,2.31,0.48,0.1,0.0112,0.5153,0.3769,0.2891,0.1545,0.0296,0.0194,0.0508,0.002,0.2829,0.08,0.0771
141,0,1,0,0,0,0,0,50,29368,9184677.247,7.681318681,52.8,22,8.5,30.1,28.3,11.1,35.4,2.5,47.1,12.7,2.3,28.7,14.8,18.9,17,21.4,13.3,10.7,2.7,3.8,6.5,2.3,4.1,89.3,38.7,0.126,0.089,1.4,0.82,0.29,0.39,0.0635,0.9752,0.948,0.6468,0.3146,0.036,0.0991,0.0827,0.0102,0.1549,0.0681,0.1742
142,0,0,0,0,0,1,0,25,31948,69058532.01,6.603316327,51.1,19.6,7.7,24.6,28.1,20,16.2,64.1,0.5,17,2.2,33.1,24.3,13.6,6.6,5.7,7.6,9.3,1.8,2.6,5.7,2.3,3.9,90.5,17.6,0.185,0.066,0.89,0.51,0.19,0.12,0.0161,0.2419,0.228,0.3706,0.2122,0.0063,0.0611,0.0485,0.0063,0.0172,0,0.107
143,2,2,0,0,1,2,1,137,61934,36273595.34,7.228412256,54.7,26.3,11.8,26.2,24.6,11.1,24.8,2.5,68.8,1.3,2.6,39.1,10.1,22.6,23.9,30.8,18.5,13.3,3.4,6.4,7.5,2.5,4.6,86.2,43.5,0.102,0.111,2.09,1.04,0.63,0.73,0.0949,1.4243,1.6486,0.8384,0.3671,0.0448,0.0936,0.0822,0.0038,0.3302,0.0597,0.1948
144,1,3,2,7,0,1,2,128,117194,79592549.66,7.040238936,50.43899005,24.18353414,10.29656808,39.45012458,17.50804307,8.474703483,27.78645238,59.60267676,4.570587231,6.174133488,1.864434186,21.43147089,24.70231923,22.02182706,31.14169241,29.60818984,7.122307456,8.495701998,2.329378637,3.357318634,5.109559363,2.085865317,3.48985187,88.23502654,43.21847194,0.506815852,0.119513081,2.309692902,1.337834616,0.504453726,0.277364626,0.032642634,0.712743764,0.60596048,0.495587604,0.283954167,0.019711166,0.040093517,0.081153889,0.003426771,0.2094715,0.038820333,0.14759047
145,0,0,0,0,0,0,0,32,22033,14041668.19,6.958579882,52.9,20,8.3,36.3,24.2,11.2,14.3,66.2,5.4,10.9,3.3,22.4,13.4,9.5,10.2,7.5,6.2,8,1.3,2.3,4.7,2.5,4.5,93.4,13.7,0.259,0.104,0.84,0.47,0.2,0.13,0,0.5763,0.3892,0.246,0.2759,0.0134,0.0293,0.0492,0.003,0.0681,0,0.1111
146,0,1,0,0,0,0,0,54,61278,37000431.87,7.578947368,50.9,24.7,11.2,30,25.3,8.7,53.1,15.2,4.8,23.9,3,47,28.4,23.5,15.6,20.3,11.7,10.5,3,3.5,5.7,3.3,4.4,84.5,40.1,0.147,0.1,1.39,0.84,0.31,0.37,0.0447,0.5657,0.2697,0.4474,0.3072,0.0151,0.0613,0.0591,0.0087,0.0767,0.0245,0.1262
147,0,0,0,0,0,1,0,27,45804,28248218.43,6.890339426,48.8,18.5,8.8,36.3,25.7,10.6,36,22.3,1.3,38.2,2,57.8,39.2,22.4,14.8,10.7,7.5,7.2,1.4,2.3,4.5,1.3,2.7,76.4,35.7,0.26,0.122,1.37,0.76,0.3,0.2,0.0242,0.786,0.2622,0.439,0.279,0.0256,0.1288,0.0497,0.0189,0.071,0.0437,0.0952
