,community,shape_area,area_num_1,shape_len,2000_POP,2010_POP,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,AVG_VMT,OPEN_SPACE_PER_1000,Sfperc,Mfperc,MIXperc,COMMperc,INSTperc,INDperc,TRANSperc,Agperc,OPENperc,VACperc,NATIVE,FOR_BORN,POP_OV5,ONLY_ENGLISH,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,highly_walkable_pop_pct,highly_walkable_emp_pct,assoc_plus_pct,in_lbr_frc_pct,PopDens,Birth Rate,General Fertility Rate,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Teen Birth Rate,Assault (Homicide),Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Firearm-related,Infant Mortality Rate,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Childhood Blood Lead Level Screening,Childhood Lead Poisoning,Gonorrhea in Females,Tuberculosis,Below Poverty Level,Crowded Housing,Dependency,No High School Diploma,Per Capita Income,Unemployment,OV65
57,BRIDGEPORT,58291519.2767,60,32732.7183268,33694,31977,33637,0.20307994173083213,0.268959776436662,0.19392335820673662,0.2168742753515474,6.94473347801528,3.296964652020097,1.4745666973868061,0.37027813709999996,0.33638552784136516,0.23964681749264202,0.025210333858548623,0.39049261230192944,0.008294437672800786,28169,0.6622883311441654,0.6036423018211509,0.058610529305264655,0.3377116688558344,0.01579750789875395,0.5814547907273954,24544,0.20685299869621904,0.2807610821382008,0.15290906127770534,0.0569996740547588,0.19992666232073014,0.10259126466753585,0.1404416558018253,0.13632659713168188,0.0848679921773142,0.05569589308996089,0.056673728813559324,0.044858213820078235,456.7073171,12734,5870,6866,1093,13829,620,2682,2033,497,278985.9002,11018.0211,1.953005605,0.182009594,0.16807123899999998,0.023249849,0.041780364,0.024600043,0.100990938,0.367051041,0.0,0.035613864,0.056633067999999995,0.586734845556976,0.35874186164045546,31803,0.43544311323839824,0.5100335939590332,0.272646193180129,0.43544311323839824,0.14582156553794928,0.007045812646787763,0.32410738175223713,0.0039539792490412345,0.0004162083420043405,0.0032107500668906263,0.004370187591045575,0.020810417100217023,0.0003270208401462675,1.0,1.0,0.359466302,0.775717147,0.0005770479208189932,11.7,51.7,0.08,0.8029999999999999,0.114,0.284,0.049,0.165,1.689,0.161,0.498,0.045,0.08,0.544,0.158,0.401,3.8489999999999998,0.006999999999999999,1.1079999999999999,0.099,0.17300000000000001,0.048,0.32299999999999995,0.256,24969,0.11199999999999999,0.11716264827422183
58,NEW CITY,134636963.254,61,48133.595961,51721,44377,39561,0.3270645332524456,0.23093450620560657,0.18915093147291526,0.15621445362857359,6.046358787694952,2.9650413285811785,0.6521574277697733,0.3115403956,0.12279770481029298,0.6199287176764996,0.22340183514066883,0.02606101969110993,0.00781072268142868,29133,0.618851474273161,0.5056121923591803,0.11323928191398071,0.381148525726839,0.007894827171935606,0.49092094875227404,23554,0.28823129829328353,0.46204466332682353,0.1373864311794175,0.03697885709433642,0.05306954232826696,0.022331663411734738,0.195890294642099,0.16506750445784152,0.08181200645325633,0.03638447822025983,0.02381761059692621,0.011250742973592597,328.6179922,12112,4486,7622,3319,15427,2524,1658,243,59,132092.8753,11108.90407,1.722084006,0.079195407,0.106844033,0.010043016,0.052660833,0.028469063,0.227329555,0.36916392600000003,0.0,0.026951719,0.099342446,0.6150248982583858,0.30171128131240366,36267,0.38929754050706505,0.5274639164834054,0.26260711306589823,0.38929754050706505,0.49713101286620665,0.0056874194282247655,0.015520335684133364,0.003639948434063851,0.0008341548494729657,0.0001516645180859938,0.0026541290665048913,0.0015419226005409367,0.0003033290361719876,0.9589079709999999,0.43339571200000004,0.112548489,0.7314893020000001,0.00029383461305025133,21.4,93.4,0.11800000000000001,0.759,0.122,0.943,0.266,0.23600000000000002,2.352,0.292,0.8370000000000001,0.24600000000000002,0.079,0.6940000000000001,0.40700000000000003,0.502,5.55,0.008,10.526,0.09300000000000001,0.306,0.122,0.42,0.424,12524,0.174,0.09663557544045905
59,WEST ELSDON,32711091.4259,62,26229.6956007,15921,18109,19237,0.3249987004210636,0.22893382544055726,0.21250714768415033,0.139210895669803,6.139210895669803,2.016946509330977,1.2839839891875033,0.310600304,0.1417580703851952,0.8234132141186256,0.013827519883557727,0.019753599833653896,0.0012475957789676146,14482,0.6626156608203285,0.5845877641209778,0.07802789669935092,0.3373843391796713,0.010771992818671455,0.5505455047645352,11424,0.27249649859943975,0.384891456582633,0.16806722689075632,0.06836484593837536,0.07895658263305322,0.027135854341736695,0.07484243697478991,0.12911414565826332,0.10259103641456582,0.05129551820728291,0.07484243697478991,0.01750700280112045,548.4939759,5143,3668,1475,326,5469,1230,2256,135,48,167365.0976,14970.67865,1.336580397,0.45173025200000005,0.055629539000000006,0.006684688,0.062774539,0.020345065,0.046930555,0.319186011,0.0,0.021384719,0.01533463,0.5678120289026356,0.37490253157976816,18135,0.1672298175391173,0.7754847429432864,0.2965119301346364,0.1672298175391173,0.7070749077298956,0.04543327961740396,0.016166761969122003,0.0002079326298279357,0.0005198315745698394,0.0,5.198315745698393e-05,0.004158652596558715,0.0018713936684514214,1.0,1.0,0.17459016,0.7761740570000001,0.0005880879897748847,20.8,92.3,0.046,0.812,0.075,0.455,0.059000000000000004,0.121,1.806,0.115,0.685,0.077,0.081,0.578,0.447,0.426,4.926,0.002,1.22,0.045,0.098,0.087,0.387,0.396,16938,0.135,0.09440141394188283
60,GAGE PARK,61284896.1132,63,32294.1959107,39193,39894,40873,0.3556871284221858,0.2495290289433122,0.20622415775695446,0.12213441636288014,4.403885205392313,1.6710297751571943,0.5676118709172314,0.2850899918,0.03748195630367235,0.9213661830548284,0.03542680987448927,0.0047219435813373135,0.0010031071856726934,29044,0.6780402148464398,0.5846302162236606,0.09316898498829362,0.3219597851535601,0.009743836937061011,0.5527131249139237,23010,0.39717514124293785,0.3738809213385485,0.12212081703607128,0.04976097348978705,0.041416775315080395,0.01564537157757497,0.10982181660147763,0.1428509343763581,0.07883528900478053,0.04606692742285962,0.034245980008691876,0.008518035636679704,411.3839286,9672,5336,4336,1050,10722,3137,2061,97,29,133391.6084,15177.46776,0.89778021,0.290085433,0.11072505199999999,0.013201181999999999,0.045310849,0.068439113,0.096200484,0.34275465899999996,0.0,0.018195576,0.015087651,0.5183128226457564,0.3986494752036797,37479,0.12233014459423092,0.7946321532552052,0.3418638220830378,0.12233014459423092,0.7854573924106378,0.002055146429183079,0.0015168937929684633,0.0014924277640496171,0.0,0.0008318449832407701,4.8932057837692364e-05,0.002593399065397695,0.0006361167518900007,1.0,1.0,0.10682312,0.783530906,0.0006669343115880141,21.8,93.2,0.068,0.804,0.068,0.614,0.10800000000000001,0.23399999999999999,1.71,0.136,0.65,0.111,0.054000000000000006,0.341,0.41100000000000003,0.512,5.903,0.008,1.716,0.07,0.20800000000000002,0.174,0.40399999999999997,0.541,12014,0.14,0.06642526851466739
61,CLEARING,71145192.3827,64,45363.2861749,22331,23139,25891,0.26943725618940945,0.21644586922096484,0.21524854196438917,0.17932872426711985,6.859526476381754,3.367965702367618,1.7264686570622998,0.35935260999999996,0.43165578772546437,0.5290641535668765,0.015449383955814761,0.007106716619674791,0.01672395813216948,20091,0.6635807077796028,0.5965855358120552,0.06699517196754766,0.33641929222039724,0.005624408939326067,0.578368423672291,17492,0.14721015321289732,0.3867482277612623,0.20392179281957468,0.08249485479076149,0.12691516121655613,0.05270981019894809,0.0814658129430597,0.11782529156185685,0.10804939400868968,0.08020809512920192,0.07855019437457124,0.03470157786416648,623.8175676000001,8760,5970,2790,482,9242,1528,3932,441,47,189305.7111,16020.969930000001,1.865458355,0.316717598,0.047249313,0.006375257,0.027611632,0.012099101999999999,0.08039423400000001,0.478977779,0.0,0.021057887,0.009517199,0.7464756092850797,0.17967633540612568,23979,0.5102159051407825,0.4159360395504229,0.12587385578000077,0.5102159051407825,0.33243211926924415,0.05820555405353211,0.0,0.0005021049785639798,0.004132710208180449,0.002471901432930362,0.0010428334170174964,0.016994322351396238,0.00015449383955814763,1.0,0.979935393,0.262119826,0.790265487,0.000363917773399623,14.6,68.3,0.07400000000000001,0.858,0.08,0.387,0.094,0.23600000000000002,1.8940000000000001,0.225,0.72,0.127,0.067,0.586,0.187,0.535,3.02,0.003,,0.009000000000000001,0.059000000000000004,0.034,0.364,0.185,23920,0.096,0.11953960835811672
62,WEST LAWN,82315301.6831,65,41934.4901309,29235,33355,33108,0.3342696629213483,0.22758849824815755,0.211127220007249,0.1402078047601788,5.279690709194153,2.431436510813097,0.9695541862993838,0.3122836096,0.15201763924127099,0.8054246707744351,0.034795215657847045,0.00558777334783134,0.0021747009786154403,24565,0.6673722776307754,0.5797272542234887,0.08764502340728679,0.3326277223692245,0.0068389985752086305,0.5455322613474456,19893,0.3087518222490323,0.3550997838435631,0.17086412305836224,0.05459206756145378,0.08515558236565626,0.02553662092193234,0.08691499522445081,0.13663097572010255,0.09847685115367215,0.047654954003920974,0.06278590458955412,0.01935354144674006,504.97881359999997,8988,6375,2613,819,9807,2343,3890,71,55,164654.8704,15456.89256,1.543797146,0.325654761,0.044711071,0.005712235,0.08952308699999999,0.055976738,0.10208104400000001,0.336926609,0.0,0.018866835,0.020547618,0.5869880391446176,0.3445994925697717,30843,0.2415428295276066,0.6900447021867826,0.26812250815512867,0.2415428295276066,0.6617433852845234,0.014830252506946962,0.0,0.001419596472151746,0.004077564334903951,0.0,0.00024163344206838228,0.007732270146188233,0.0,0.973451437,0.49499858799999996,0.16528427099999998,0.7873428290000001,0.0004022095445566148,18.8,83.3,0.076,0.835,0.083,0.446,0.107,0.16899999999999998,1.4509999999999998,0.157,0.615,0.08800000000000001,0.084,0.36700000000000005,0.19699999999999998,0.431,5.083,0.002,0.9309999999999999,0.043,0.153,0.068,0.419,0.33399999999999996,15898,0.078,0.08680681406306633
63,CHICAGO LAWN,98279465.1151,66,40073.0998382,61412,55628,53098,0.31374063053222345,0.23776790086255603,0.19878338167162604,0.15659723530076464,5.95314324456665,2.485969339711477,0.871972579004859,0.3162095379,0.03536856378771328,0.4957248860597386,0.44824663829146105,0.004275113940261403,0.016384797920825644,40196,0.642377350980197,0.5009204896009554,0.14125783660065677,0.35762264901980295,0.010299532291770325,0.4724599462633098,31822,0.2862485073219785,0.3755577902080322,0.19759914524542768,0.056376092011815725,0.06030419206838036,0.023914273144365533,0.18810885550876752,0.155018540632267,0.08010181635346615,0.039720947771981645,0.028816542014958205,0.011061529759286029,338.4362348,16001,7005,8996,2996,18997,4318,2582,55,50,125197.6886,12078.750320000001,1.4630682819999998,0.298123767,0.11336542699999999,0.015131752,0.04675933400000001,0.028974019,0.024249322,0.313254088,0.0,0.13669962800000002,0.023442663,0.6827564126709104,0.24106369354777957,49053,0.4927680891935666,0.4310520170251234,0.1902896530942785,0.4927680891935666,0.4173603525556518,0.0007909902444536518,0.001073486760329956,0.0007909902444536518,0.002372970733360955,0.0,0.00030132961693472447,0.007081245997966025,0.001280650871972579,0.939251058,0.9612409829999999,0.14059455699999998,0.7550087320000001,0.0005402756307008211,20.1,85.3,0.094,0.784,0.10800000000000001,0.674,0.22399999999999998,0.25,1.7930000000000001,0.261,0.73,0.19399999999999998,0.111,0.429,0.221,0.617,5.246,0.012,11.895,0.053,0.222,0.065,0.4,0.316,14405,0.11900000000000001,0.09311085163282988
64,WEST ENGLEWOOD,87947691.9478,67,40195.2033069,45282,35505,29929,0.27074075311570717,0.20144341608473387,0.17982558722309466,0.1749807878646129,10.110595075010858,5.426175281499549,1.7641752146747303,0.37598314610000005,0.009656186307594641,0.06408500116943433,0.9122924254067961,0.00013364963747535834,0.01383273747869959,23392,0.5240253077975376,0.35849863201094384,0.16552667578659372,0.4759746922024624,0.010473666210670314,0.3396887824897401,19916,0.21063466559550106,0.42357903193412333,0.22720425788310905,0.057441253263707574,0.052671219120305285,0.028469572203253666,0.22283591082546697,0.13386222132958425,0.06783490660775256,0.02535649728861217,0.022343844145410727,0.01189997991564571,280.0627943,9642,4481,5161,3247,12889,3403,969,7,78,91840.39087999999,9909.649448999999,2.156587461,0.247952864,0.098745145,0.009180927,0.025515227999999997,0.047332367,0.020978682999999998,0.37373789,0.0,0.04060826,0.135948635,0.9048748705269137,0.027698887366768017,27911,0.8763406729259247,0.05623308496775702,0.02509271943599853,0.8763406729259247,0.05299208125897959,0.00020047445621303753,0.0003675365030572355,0.0002672992749507167,0.0,0.0,0.0,0.001436733602860102,0.0009689598716963481,0.9518423979999999,0.780699583,0.138582045,0.669329649,0.00034030455304914537,20.3,93.3,0.161,0.636,0.138,1.169,0.47200000000000003,0.392,2.476,0.244,0.882,0.39299999999999996,0.133,0.6629999999999999,0.75,0.6459999999999999,4.506,0.026000000000000002,27.622,0.109,0.32299999999999995,0.069,0.409,0.303,10559,0.34700000000000003,0.17300945571185136
65,ENGLEWOOD,85652323.0826,68,42316.8442973,40222,30654,25075,0.3100299102691924,0.23816550348953144,0.14045862412761714,0.17978065802592227,7.310069790628115,4.35493519441675,1.4915254237288136,0.3194823232,0.007218344965104686,0.03361914257228315,0.9456031904287139,0.002711864406779661,0.010847457627118645,18649,0.5084991152340608,0.3351922355086064,0.17330687972545444,0.49150088476593917,0.016033031261729853,0.3088101238672315,15427,0.2620729889155377,0.3628702923445907,0.24632138458546707,0.05807998962857328,0.052699812017890715,0.017955532507940623,0.3550269008880534,0.14267193880858237,0.04809749141116224,0.023206067284630844,0.017696246839955923,0.007324820120567835,197.950429,9164,2302,6862,5063,14227,1601,582,79,34,104451.2195,7286.512420999999,2.3258567340000003,0.121005162,0.15553318,0.006880992,0.019448062,0.08642525699999999,0.006864561,0.366456225,0.0,0.022198403,0.21518815800000002,0.8821535393818545,0.023210368893320045,22702,0.8726620139581256,0.032701894317048855,0.013439680957128615,0.8726620139581256,0.024247258225324027,0.00023928215353938184,0.0,0.0,0.0,0.0,0.0014755732801595214,0.001674975074775673,0.005064805583250249,0.946796903,0.982612171,0.128735334,0.633338095,0.0002927532972552137,20.0,85.8,0.145,0.6970000000000001,0.131,1.053,0.451,0.32899999999999996,2.522,0.302,1.018,0.449,0.134,0.768,0.5770000000000001,0.716,4.01,0.027999999999999997,25.949,0.113,0.42200000000000004,0.048,0.434,0.294,11993,0.213,0.13156530408773678
66,GREATER GRAND CROSSING,98853167.7093,69,54645.3302996,38619,32602,31766,0.27088711200654786,0.22149467984637664,0.17625763394824656,0.19763268903859474,7.183781401498457,3.736699615941573,2.452307498583391,0.3568322981,0.012371718189258956,0.014166089529685828,0.9619089592646225,0.00012592079581942958,0.011427312220613235,24955,0.5562011620917652,0.433740733319976,0.12246042877178923,0.4437988379082348,0.017912242035664196,0.39979963935083146,20762,0.1393411039398902,0.293228012715538,0.3189962431364994,0.08419227434736537,0.10499951835083325,0.05924284750987381,0.27742992004623834,0.12975628552162605,0.08631153068105192,0.05062132742510356,0.02572006550428668,0.014353145169058858,270.3542781,12129,4089,8040,3509,15638,2262,1705,25,87,127926.5873,10047.689,1.3488215080000001,0.16547906699999998,0.144387184,0.009346522,0.036001256,0.11250483,0.01810252,0.43728123700000004,0.0,0.015327927,0.061569457,0.9175533589372284,0.014040168733866399,29593,0.9036391109991814,0.027954416671913368,0.01208839639866524,0.9036391109991814,0.014386450922369832,0.00018888119372914436,0.00012592079581942958,0.0,0.0,3.1480198954857394e-05,0.0,0.004218346659950891,0.009003336901089214,0.929499642,0.946281383,0.24843464,0.6894199759999999,0.00032134529156834993,18.2,82.4,0.129,0.723,0.151,0.843,0.49700000000000005,0.29100000000000004,2.7439999999999998,0.315,0.9229999999999999,0.446,0.142,0.775,0.703,0.5820000000000001,4.537,0.019,25.003,0.048,0.256,0.042,0.429,0.179,17213,0.18899999999999997,0.1337278851602342
67,LINCOLN PARK,88316400.4728,7,49478.4277714,64320,64116,67710,0.17732978880519867,0.4437749224634471,0.16926598729877418,0.11946536700635062,5.52798700339684,2.699748929257126,0.7886575099689853,0.30234774519999996,0.7903116230985083,0.06566238369517058,0.04734898833259489,0.0687195392113425,0.027957465662383694,58827,0.777704115457188,0.7535145426419841,0.024189572815203904,0.22229588454281196,0.05167695105988747,0.6913152124024683,47911,0.024503767402057983,0.05476821606729144,0.06745841247312725,0.018450877669011292,0.4861722777650226,0.34864644862348937,0.09724280436642943,0.07015090480265493,0.09983093652814594,0.07113189038007973,0.11999332094926009,0.21656822024169814,996.8456573,32336,13784,18552,3111,35447,444,2242,3609,6073,492925.4302,8076.5957530000005,4.4263406530000005,0.151871484,0.18384584899999998,0.031437413,0.123330525,0.051959017999999996,0.023388294,0.263235132,0.0,0.15722467699999998,0.013707608,0.8350317530645399,0.10952591936198494,63956,0.8210160980652784,0.1235415743612465,0.03190075321222862,0.8210160980652784,0.03897504061438488,0.018254319893664155,0.01053020233348102,0.0032786885245901635,0.004386353566681435,0.00428297149608625,0.005966622360064983,0.0347216068527544,0.0031457687195392114,1.0,0.9968248190000001,0.8532696040000001,0.8699947579999999,0.0007666752679855149,13.2,38.7,0.066,0.757,0.078,0.021,0.006999999999999999,0.237,1.5290000000000001,0.16699999999999998,0.501,0.023,0.024,0.4,0.273,0.353,1.733,0.006,0.503,0.012,0.11800000000000001,0.006,0.204,0.043,71403,0.045,0.09016393442622951
68,ASHBURN,135460337.208,70,54818.1546317,39584,41081,43792,0.2968350383631714,0.19129064669346,0.21008403361344538,0.19562933869199853,6.921355498721228,2.2812385823894776,1.4135001826817684,0.3587248322,0.10835312385823896,0.38646328096455973,0.47581750091340885,0.007193094629156011,0.022172999634636464,33341,0.6684562550613359,0.5813562880537476,0.08709996700758825,0.3315437449386641,0.012267178548933746,0.5504933865211001,27420,0.15324580598103574,0.3073668854850474,0.23570386579139313,0.09544128373450037,0.13592268417213713,0.07231947483588622,0.0725018234865062,0.09077315827862874,0.10587162654996353,0.07585703865791393,0.08727206418672502,0.0411743253099927,665.6012658,12982,10946,2036,630,13612,4296,6257,273,105,162994.4444,17837.27574,2.024588915,0.407639992,0.013189115,0.003171254,0.04253106,0.058748866,0.033380791,0.344561865,0.0,0.083565344,0.013211711000000001,0.7712824260138837,0.164778955060285,40992,0.6148154914139569,0.32124588966021184,0.1049963463646328,0.6148154914139569,0.28566861527219584,0.004041834124954329,0.0010047497259773476,0.0021008403361344537,0.012650712458896603,0.0,0.0017126415783704787,0.008243514797223237,0.005822981366459628,0.7929984520000001,0.621942666,0.303683443,0.7878671970000001,0.00032328282139706455,14.7,69.0,0.09,0.8240000000000001,0.113,0.38299999999999995,0.124,0.37200000000000005,2.293,0.228,0.8009999999999999,0.11599999999999999,0.102,0.628,0.445,0.474,3.6830000000000003,0.002,5.29,0.044000000000000004,0.095,0.042,0.36700000000000005,0.183,22078,0.08800000000000001,0.10616094263792472
69,AUBURN GRESHAM,105065353.602,71,46757.7217161,55928,48743,46278,0.25273348027140324,0.19827996024028696,0.17008081593845892,0.2129953757725053,8.232853623752106,6.409092873503609,1.9490902804788452,0.3977464195,0.007001166861143524,0.018626561216992955,0.9601754613423225,0.0030900211763689013,0.011106789403172133,37125,0.557952861952862,0.43986531986531985,0.11787205387205388,0.442047138047138,0.018774410774410773,0.4124175084175084,31343,0.16667198417509488,0.3108828127492582,0.29853555817885974,0.06977634559550777,0.09581086686022397,0.05832243244105542,0.22448393580703827,0.1387231598762084,0.08659030724563699,0.04479469099958523,0.03672271320550043,0.014612513160833361,316.9419134,17111,7389,9722,3503,20614,4456,2785,132,11,133976.5101,10588.32037,1.7322378319999998,0.331737428,0.132438182,0.009182224000000001,0.037528885,0.045228179,0.022758614,0.345926609,0.0,0.024603967,0.05059591099999999,0.9262500540213492,0.018129564804010546,43704,0.92802195427633,0.016357664549029777,0.004127231081723497,0.92802195427633,0.00929167206880159,0.0001728683175590994,0.0,0.00036734517481308614,0.0,0.0002376939366437616,0.0008211245084057219,0.003824711525995073,0.0016422490168114439,0.9833468190000001,0.995529309,0.223909645,0.6984091579999999,0.0004404687027020015,15.1,70.5,0.11599999999999999,0.718,0.139,0.831,0.376,0.419,2.43,0.245,0.836,0.326,0.156,0.6509999999999999,0.435,0.637,3.938,0.015,20.322,0.073,0.245,0.040999999999999995,0.42100000000000004,0.195,16022,0.242,0.1659103677773456
70,BEVERLY,88779363.9384,72,44591.4851009,21992,20034,20822,0.256987801363942,0.13725866871578138,0.20531168955912016,0.24464508692728845,10.119104793007395,3.6691960426472,1.7913745077322063,0.4321455648,0.5768898280664682,0.052588608202862354,0.3376716934012103,0.007828258572663529,0.025021611756795695,16384,0.656494140625,0.61578369140625,0.04071044921875,0.343505859375,0.0279541015625,0.57525634765625,14563,0.03316624321911694,0.14406372313396965,0.19480876193092084,0.07759390235528393,0.28002472018128133,0.2703426491794273,0.04930302822220696,0.08748197486781568,0.07354253931195495,0.07855524273844675,0.08576529561216782,0.15223511639085352,919.0340909,7673,6184,1489,375,8048,464,2466,2637,544,307809.5831,14379.79173,2.046641896,0.512058711,0.028851946,0.004838852,0.032415404,0.020944956,0.0,0.269313128,0.0,0.126398224,0.00517878,0.8994332917106906,0.03212947843626933,19397,0.8852655844779559,0.04629718566900394,0.008596676592066085,0.8852655844779559,0.027711074824704644,0.0016328882912304294,0.002449332436845644,0.002305254058207665,0.00033618288348861785,0.0,0.00019210450485063874,0.010757852271635771,0.000912496398040534,0.959061719,0.986192269,0.6279612720000001,0.8023227279999999,0.00023453648546578287,11.0,60.7,0.049,0.848,0.099,0.11900000000000001,0.035,0.42,1.976,0.248,0.596,0.035,0.1,0.479,0.447,0.5720000000000001,1.791,0.013000000000000001,1.955,0.0,0.052000000000000005,0.006999999999999999,0.387,0.051,40107,0.078,0.155796753433868
71,WASHINGTON HEIGHTS,79635752.8769,73,42222.598163,29843,26493,27453,0.2272247113248097,0.19487851965176847,0.17462572396459403,0.21950242232178632,9.172039485666412,6.665938148836192,2.5388846392015445,0.4195731707,0.006665938148836193,0.007831566677594434,0.9577459658325137,0.00029140713218956033,0.027465122208866058,22881,0.5858572614833267,0.47825706918403915,0.10681351339539356,0.41414273851667327,0.0156024649272322,0.454438180149469,19000,0.1033684210526316,0.29157894736842105,0.30736842105263157,0.0798421052631579,0.13636842105263158,0.08147368421052631,0.161,0.11042105263157895,0.08236842105263158,0.0628421052631579,0.061,0.02605263157894737,447.06601470000004,9570,6497,3073,900,10470,3671,2493,246,87,135822.1477,13514.482780000002,1.840528259,0.43525906700000006,0.037716256000000004,0.005421303000000001,0.030388966,0.046209574,0.020042331,0.369826904,0.0,0.026843844,0.028291755,0.9416092958875169,0.016209521728044293,26295,0.9376024478199105,0.020216369795650748,0.005500309620077953,0.9376024478199105,0.010272101409682002,0.00047353658980803557,0.00021855534914217025,0.0,3.642589152369504e-05,0.0,0.00029140713218956033,0.008924343423305286,0.0,0.913551331,0.911109781,0.29768421,0.763636364,0.00034473209592727176,12.0,61.0,0.196,0.754,0.162,0.65,0.38,0.479,2.6060000000000003,0.297,0.795,0.35600000000000004,0.11199999999999999,0.7,0.562,0.5760000000000001,3.714,0.015,12.982000000000001,0.03,0.157,0.011000000000000001,0.424,0.156,19709,0.183,0.18376862273704148
72,MOUNT GREENWOOD,75584290.0209,74,48665.1305392,18820,19093,19277,0.277377185246667,0.19707423354256368,0.1987342428801162,0.20781241894485658,6.707475229548167,3.511957254759558,1.6807594542719302,0.3700692747,0.8471235150697722,0.08569798205114904,0.03262955854126679,0.022462001348757584,0.012086942989054314,15175,0.654497528830313,0.6339373970345964,0.020560131795716644,0.34550247116968696,0.012257001647446458,0.6090280065897858,12643,0.04302776239816499,0.25539824408763745,0.27366922407656413,0.07158111207782963,0.23712726409871074,0.11919639326109309,0.04903899390967334,0.06999920904848533,0.06707268844419836,0.09491418176065808,0.12805505022542119,0.11255240053784704,946.7708332999999,6595,5606,989,437,7032,591,3803,1137,75,235353.208,19147.85135,2.5694104859999998,0.431038132,0.011348219,0.004564229,0.021176028,0.302072543,0.000104782,0.210506392,0.0,0.017505415,0.001684261,0.8814130829485916,0.040462727602842766,17771,0.8615967214815583,0.060279089069876016,0.015925714582144524,0.8615967214815583,0.028427659905586967,0.004772526845463506,0.0027493904653213674,0.005758157389635317,0.002230637547336204,0.0023343881309332366,0.0018675105047465889,0.01213881828085283,0.0,0.802745134,0.7496359159999999,0.42790476899999996,0.793227913,0.00025503977076016287,12.5,59.0,0.084,0.945,0.151,0.077,0.022000000000000002,0.34600000000000003,2.011,0.248,0.665,0.07400000000000001,0.033,0.55,0.16899999999999998,0.267,1.3359999999999999,0.0,,0.0,0.031,0.011000000000000001,0.37,0.045,34221,0.069,0.11900191938579655
73,MORGAN PARK,91877340.6988,75,46396.419362,25226,22544,22394,0.2630168795213004,0.15946235598821112,0.16732160400107174,0.22961507546664284,9.752612306867912,5.519335536304367,2.7864606591051175,0.4215082793,0.27726176654461016,0.03764401178887202,0.6569616861659372,0.001339644547646691,0.026748236134678933,17912,0.5696739615899955,0.5027355962483252,0.06693836534167039,0.43032603841000444,0.01563197856185797,0.47498883430102723,15201,0.08558647457404119,0.23195842378790868,0.23551082165646997,0.1023616867311361,0.1747253470166436,0.16979146108808632,0.12768896783106373,0.10519044799684231,0.09209920399973685,0.06835076639694757,0.07341622261693309,0.06466679823695809,588.1625442000001,8079,5650,2429,910,8990,1940,2746,770,193,200357.4833,15351.641480000002,3.58296096,0.430370381,0.033489346,0.0031439690000000004,0.050611643,0.086804676,0.029877047,0.306216256,0.0,0.032474098,0.027012585,0.91497722604269,0.02804322586407073,21118,0.9030990443868894,0.03996606233812628,0.011520943109761544,0.9030990443868894,0.021702241671876395,8.93096365097794e-05,0.0008484415468429043,0.0003125837277842279,0.000759131910333125,0.0001786192730195588,0.0005358578190586764,0.013128516566937573,0.0023667053675091544,1.0,1.0,0.446880115,0.752009925,0.00024373800797537109,13.2,67.5,0.106,0.745,0.12300000000000001,0.467,0.19899999999999998,0.324,2.182,0.271,0.754,0.158,0.131,0.5,0.39799999999999996,0.479,2.988,0.013000000000000001,8.005,0.026000000000000002,0.13699999999999998,0.008,0.39399999999999996,0.109,26185,0.149,0.18058408502277395
