GEOG,2000_POP,2010_POP,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,AVG_VMT,OPEN_SPACE_PER_1000,Sfperc,Mfperc,MIXperc,COMMperc,INSTperc,INDperc,TRANSperc,Agperc,OPENperc,VACperc,NATIVE,FOR_BORN,POP_OV5,ONLY_ENGLISH,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,highly_walkable_pop_pct,highly_walkable_emp_pct,assoc_plus_pct,in_lbr_frc_pct
Kenwood,18363,17841,17189,3170,4741,3178,3053,1731,923,393,37.67619421,2913,397,11724,1582,573,14471,9016,8039,977,5455,597,7216,12674,946,1544,2223,852,3067,4042,3298,1659,1167,758,1112,1187,44087.98283,9181,2986,6195,1246,10427,830,942,639,443,227738.5159,8361.182119,6.805665299,0.200570704,0.192230955,0.000689994,0.039071716,0.08115558,0.000911955,0.269058758,0,0.185636642,0.030673695,14147,2054,16201,13875,2326,688,13875,406,102,831,75,40,118,272,248,234,1,1,0.628136342,0.746445498
Lake View,94817,94368,100470,11988,49608,19828,10963,4803,2344,936,31.1677798,79382,8323,3475,6441,2849,89508,75100,72712,2333,14408,4918,66885,76120,1572,4638,6753,2560,36314,24283,6891,7897,8543,6841,10038,12537,86118.62301,52747,19971,32776,4892,57639,1502,5486,6022,6027,370723.8681,7319.603012,2.691740427,0.110676995,0.317101525,0.046299529,0.062235988,0.048324245,0.008261182,0.312630422,0,0.08929793,0.005172184,82582,12521,95103,80324,14779,3399,80324,5383,1715,865,494,399,255,1090,3815,763,1,1,0.8297031,0.906217739
Lincoln Park,64320,64116,67710,12007,30048,11461,8089,3743,1828,534,30.23477452,53512,4446,3206,4653,1893,58827,45750,44327,1423,13077,3040,40668,47911,1174,2624,3232,884,23293,16704,4659,3361,4783,3408,5749,10376,99684.56573,32336,13784,18552,3111,35447,444,2242,3609,6073,492925.4302,8076.595753,4.426340653,0.151871484,0.183845849,0.031437413,0.123330525,0.051959018,0.023388294,0.263235132,0,0.157224677,0.013707608,56540,7416,63956,55591,8365,2160,55591,2639,1236,713,222,297,290,404,2351,213,1,0.996824819,0.853269604,0.869994758
Lincoln Square,44574,39493,41715,7356,13432,10428,6664,2179,999,657,35.07910312,26782,6978,1594,4650,1711,35365,26914,25776,1138,8451,1695,23588,32285,2485,3904,4227,1387,12292,7990,2854,3640,3041,2417,3152,3192,71736.93086,18296,7552,10744,1407,19703,726,2121,2535,2057,355326.5694,9594.689266,1.92710545,0.136909536,0.211591722,0.021326617,0.033233893,0.233745574,0.025253391,0.278599319,0,0.050467676,0.008872271,29017,9408,38425,25508,12917,4524,25508,5216,1353,303,1225,626,357,1590,1674,573,1,1,0.671178566,0.851231818
Logan Square,82715,72791,73046,15288,27569,16595,8685,2888,1509,512,31.88502016,33559,31793,3657,2347,1690,60303,46345,44373,1959,13958,2714,40990,52189,5814,9959,6370,2808,17246,9992,5302,5352,4846,3862,4769,5040,70338.93986,29171,10850,18321,3223,32394,594,3202,4125,2799,363706.721,9716.676017,0.972002911,0.121052911,0.270460698,0.033316937,0.081929104,0.03081277,0.054516657,0.374174319,0,0.018038972,0.015697633,55873,12280,68153,44040,24113,11035,44040,20876,961,131,371,177,178,156,1065,198,1,1,0.576617311,0.852236947
Lower West Side,44031,35769,32888,8170,10215,6774,4477,2070,837,345,32.12103233,5268,25116,1288,803,413,26397,17885,16640,1245,8512,457,15855,22061,7288,4341,2891,1098,4413,2030,3376,3366,2384,1170,1158,493,42457.55518,11947,3557,8390,1769,13716,944,1726,706,173,223532.2896,10056.32503,1.215329504,0.033687784,0.12080784,0.027609651,0.038704341,0.052797323,0.261955296,0.405618832,0,0.020235521,0.038583413,19731,11449,31180,8858,22322,9138,8858,21216,179,226,92,171,57,143,192,46,1,0.899685561,0.34182494,0.789248113
McKinley Park,15962,15612,15767,4224,3909,3433,2625,1064,372,140,34.02918288,2667,9550,164,3106,280,12229,7943,6986,957,4286,189,6615,10290,2897,2904,1637,664,1423,765,1389,1462,908,506,613,262,44904.21456,5140,2830,2310,414,5554,501,1819,399,91,208850.365,12580.41519,2.586987052,0.132612942,0.118961215,0.013058612,0.067740793,0.027319146,0.179832466,0.333121536,0,0.081357929,0.045995361,9124,5574,14698,4325,10373,4381,4325,7338,151,2637,28,30,29,64,90,6,0.830386842,0.790224194,0.277162293,0.76402127
Montclare,12646,13426,13830,3421,3019,2658,2647,1223,608,255,37.62417219,4535,8088,518,448,240,11122,6758,6233,503,4364,99,6009,9383,2108,3005,2034,805,910,522,1156,1201,601,581,659,341,48122.3176,4538,2826,1711,531,5068,356,1747,677,47,225464.8074,14282.28786,1.273575786,0.393553744,0.104921071,0.00920531,0.087129941,0.045062073,0.031317715,0.305132176,0,0.016515493,0.007162476,8873,4064,12937,4370,8567,3661,4370,6180,1654,9,117,17,3,128,452,7,1,1,0.23809083,0.748213438
Morgan Park,25226,22544,22394,5890,3571,3747,5142,2184,1236,624,42.15082793,6209,843,14712,30,599,17912,10204,9005,1199,7708,280,8508,15201,1301,3526,3580,1556,2656,2581,1941,1599,1400,1039,1116,983,58816.25442,8079,5650,2429,910,8990,1940,2746,770,193,200357.4833,15351.64148,3.58296096,0.430370381,0.033489346,0.003143969,0.050611643,0.086804676,0.029877047,0.306216256,0,0.032474098,0.027012585,20490,628,21118,20224,895,258,20224,486,2,19,7,17,4,12,294,53,1,1,0.446880115,0.752009925
Mount Greenwood,18820,19093,19277,5347,3799,3831,4006,1293,677,324,37.00692747,16330,1652,629,433,233,15175,9932,9620,312,5243,186,9242,12643,544,3229,3460,905,2998,1507,620,885,848,1200,1619,1423,94677.08333,6595,5606,989,437,7032,591,3803,1137,75,235353.208,19147.85135,2.569410486,0.431038132,0.011348219,0.004564229,0.021176028,0.302072543,0.000104782,0.210506392,0,0.017505415,0.001684261,16991,780,17771,16609,1162,307,16609,548,92,53,111,43,45,36,234,0,0.802745134,0.749635916,0.427904769,0.793227913
